"id","dtc_code","dtc_description"
"228","P0227","Throttle/Pedal Position Sensor/Switch C Circuit Low"
"229","P0228","Throttle/Pedal Position Sensor/Switch C Circuit High"
"230","P0229","Throttle/Pedal Position Sensor/Switch C Circuit Intermittent"
"231","P0230","Fuel Pump Primary Circuit"
"232","P0231","Fuel Pump Secondary Circuit Low"
"233","P0232","Fuel Pump Secondary Circuit High"
"234","P0233","Fuel Pump Secondary Circuit Intermittent"
"235","P0234","Turbo/Super Charger Overboost Condition"
"236","P0235","Turbo/Super Charger Boost Sensor A Circuit"
"237","P0236","Turbo/Super Charger Boost Sensor A Circuit Range/Performance"
"238","P0237","Turbo/Super Charger Boost Sensor A Circuit Low"
"239","P0238","Turbo/Super Charger Boost Sensor A Circuit High"
"240","P0239","Turbo/Super Charger Boost Sensor B Circuit"
"241","P0240","Turbo/Super Charger Boost Sensor B Circuit Range/Performance"
"242","P0241","Turbo/Super Charger Boost Sensor B Circuit Low"
"243","P0242","Turbo/Super Charger Boost Sensor B Circuit High"
"244","P0243","Turbo/Super Charger Wastegate Solenoid A"
"245","P0244","Turbo/Super Charger Wastegate Solenoid A Range/Performance"
"246","P0245","Turbo/Super Charger Wastegate Solenoid A Low"
"247","P0246","Turbo/Super Charger Wastegate Solenoid A High"
"248","P0247","Turbo/Super Charger Wastegate Solenoid B"
"249","P0248","Turbo/Super Charger Wastegate Solenoid B Range/Performance"
"250","P0249","Turbo/Super Charger Wastegate Solenoid B Low"
"251","P0250","Turbo/Super Charger Wastegate Solenoid B High"
"252","P0251","Injection Pump Fuel Metering Control A (Cam/Rotor/Injector)"
"253","P0252","Injection Pump Fuel Metering Control A Range/Performance (Cam/Rotor/Injector)"
"254","P0253","Injection Pump Fuel Metering Control A Low (Cam/Rotor/Injector)"
"255","P0254","Injection Pump Fuel Metering Control A High (Cam/Rotor/Injector)"
"256","P0255","Injection Pump Fuel Metering Control A Intermittent (Cam/Rotor/Injector)"
"257","P0256","Injection Pump Fuel Metering Control B (Cam/Rotor/Injector)"
"258","P0257","Injection Pump Fuel Metering Control B Range/Performance (Cam/Rotor/Injector)"
"259","P0258","Injection Pump Fuel Metering Control B Low (Cam/Rotor/Injector)"
"260","P0259","Injection Pump Fuel Metering Control B High (Cam/Rotor/Injector)"
"261","P0260","Injection Pump Fuel Metering Control B Intermittent (Cam/Rotor/Injector)"
"262","P0261","Cylinder 1 Injector Circuit Low"
"263","P0262","Cylinder 1 Injector Circuit High"
"264","P0263","Cylinder 1 Contribution/Balance"
"265","P0264","Cylinder 2 Injector Circuit Low"
"266","P0265","Cylinder 2 Injector Circuit High"
"267","P0266","Cylinder 2 Contribution/Balance"
"268","P0267","Cylinder 3 Injector Circuit Low"
"269","P0268","Cylinder 3 Injector Circuit High"
"270","P0269","Cylinder 3 Contribution/Balance"
"271","P0270","Cylinder 4 Injector Circuit Low"
"272","P0271","Cylinder 4 Injector Circuit High"
"273","P0272","Cylinder 4 Contribution/Balance"
"274","P0273","Cylinder 5 Injector Circuit Low"
"275","P0274","Cylinder 5 Injector Circuit High"
"276","P0275","Cylinder 5 Contribution/Balance"
"277","P0276","Cylinder 6 Injector Circuit Low"
"278","P0277","Cylinder 6 Injector Circuit High"
"279","P0278","Cylinder 6 Contribution/Balance"
"280","P0279","Cylinder 7 Injector Circuit Low"
"281","P0280","Cylinder 7 Injector Circuit High"
"282","P0281","Cylinder 7 Contribution/Balance"
"283","P0282","Cylinder 8 Injector Circuit Low"
"284","P0283","Cylinder 8 Injector Circuit High"
"285","P0284","Cylinder 8 Contribution/Balance"
"286","P0285","Cylinder 9 Injector Circuit Low"
"287","P0286","Cylinder 9 Injector Circuit High"
"288","P0287","Cylinder 9 Contribution/Balance"
"289","P0288","Cylinder 10 Injector Circuit Low"
"290","P0289","Cylinder 10 Injector Circuit High"
"291","P0290","Cylinder 10 Contribution/Balance"
"292","P0291","Cylinder 11 Injector Circuit Low"
"293","P0292","Cylinder 11 Injector Circuit High"
"294","P0293","Cylinder 11 Contribution/Balance"
"295","P0294","Cylinder 12 Injector Circuit Low"
"296","P0295","Cylinder 12 Injector Circuit High"
"297","P0296","Cylinder 12 Contribution/Balance"
"298","P0297","Vehicle Overspeed Condition"
"299","P0298","Engine Oil Over Temperature"
"300","P0299","Turbo/Super Charger Underboost"
"301","P0300","Random/Multiple Cylinder Misfire Detected"
"302","P0301","Cylinder 1 Misfire Detected"
"303","P0302","Cylinder 2 Misfire Detected"
"304","P0303","Cylinder 3 Misfire Detected"
"305","P0304","Cylinder 4 Misfire Detected"
"306","P0305","Cylinder 5 Misfire Detected"
"307","P0306","Cylinder 6 Misfire Detected"
"308","P0307","Cylinder 7 Misfire Detected"
"309","P0308","Cylinder 8 Misfire Detected"
"310","P0309","Cylinder 9 Misfire Detected"
"311","P0310","Cylinder 10 Misfire Detected"
"312","P0311","Cylinder 11 Misfire Detected"
"313","P0312","Cylinder 12 Misfire Detected"
"314","P0313","Misfire Detected with Low Fuel"
"315","P0314","Single Cylinder Misfire (Cylinder not Specified)"
"316","P0315","Crankshaft Position System Variation Not Learned"
"317","P0316","Engine Misfire Detected on Startup (First 1000 Revolutions)"
"318","P0317","Rough Road Hardware Not Present"
"319","P0318","Rough Road Sensor A Signal Circuit"
"320","P0319","Rough Road Sensor B"
"321","P0320","Ignition/Distributor Engine Speed Input Circuit"
"322","P0321","Ignition/Distributor Engine Speed Input Circuit Range/Performance"
"323","P0322","Ignition/Distributor Engine Speed Input Circuit No Signal"
"324","P0323","Ignition/Distributor Engine Speed Input Circuit Intermittent"
"325","P0324","Knock Control System Error"
"326","P0325","Knock Sensor 1 Circuit"
"327","P0326","Knock Sensor 1 Circuit Range/Performance"
"328","P0327","Knock Sensor 1 Circuit Low"
"329","P0328","Knock Sensor 1 Circuit High"
"330","P0329","Knock Sensor 1 Circuit Input Intermittent"
"331","P0330","Knock Sensor 2 Circuit"
"332","P0331","Knock Sensor 2 Circuit Range/Performance"
"333","P0332","Knock Sensor 2 Circuit Low"
"334","P0333","Knock Sensor 2 Circuit High"
"335","P0334","Knock Sensor 2 Circuit Input Intermittent"
"336","P0335","Crankshaft Position Sensor A Circuit"
"337","P0336","Crankshaft Position Sensor A Circuit Range/Performance"
"338","P0337","Crankshaft Position Sensor A Circuit Low"
"339","P0338","Crankshaft Position Sensor A Circuit High"
"340","P0339","Crankshaft Position Sensor A Circuit Intermittent"
"341","P0340","Camshaft Position Sensor A Circuit"
"342","P0341","Camshaft Position Sensor A Circuit Range/Performance"
"343","P0342","Camshaft Position Sensor A Circuit Low"
"344","P0343","Camshaft Position Sensor A Circuit High"
"345","P0344","Camshaft Position Sensor A Circuit Intermittent"
"346","P0345","Camshaft Position Sensor A Circuit"
"347","P0346","Camshaft Position Sensor A Circuit Range/Performance"
"348","P0347","Camshaft Position Sensor A Circuit Low"
"349","P0348","Camshaft Position Sensor A Circuit High"
"350","P0349","Camshaft Position Sensor A Circuit Intermittent"
"351","P0350","Ignition Coil Primary/Secondary Circuit"
"352","P0351","Ignition Coil A Primary/Secondary Circuit"
"353","P0352","Ignition Coil B Primary/Secondary Circuit"
"354","P0353","Ignition Coil C Primary/Secondary Circuit"
"355","P0354","Ignition Coil D Primary/Secondary Circuit"
"356","P0355","Ignition Coil E Primary/Secondary Circuit"
"357","P0356","Ignition Coil F Primary/Secondary Circuit"
"358","P0357","Ignition Coil G Primary/Secondary Circuit"
"359","P0358","Ignition Coil H Primary/Secondary Circuit"
"360","P0359","Ignition Coil I Primary/Secondary Circuit"
"361","P0360","Ignition Coil J Primary/Secondary Circuit"
"362","P0361","Ignition Coil K Primary/Secondary Circuit"
"363","P0362","Ignition Coil L Primary/Secondary Circuit"
"364","P0363","Misfire Detected - Fueling Disabled"
"365","P0364","Reserved"
"366","P0365","Camshaft Position Sensor B Circuit"
"367","P0366","Camshaft Position Sensor B Circuit Range/Performance"
"368","P0367","Camshaft Position Sensor B Circuit Low"
"369","P0368","Camshaft Position Sensor B Circuit High"
"370","P0369","Camshaft Position Sensor B Circuit Intermittent"
"371","P0370","Timing Reference High Resolution Signal A"
"372","P0371","Timing Reference High Resolution Signal A Too Many Pulses"
"373","P0372","Timing Reference High Resolution Signal A Too Few Pulses"
"374","P0373","Timing Reference High Resolution Signal A Intermittent/Erratic Pulses"
"375","P0374","Timing Reference High Resolution Signal A No Pulse"
"376","P0375","Timing Reference High Resolution Signal B"
"377","P0376","Timing Reference High Resolution Signal B Too Many Pulses"
"378","P0377","Timing Reference High Resolution Signal B Too Few Pulses"
"379","P0378","Timing Reference High Resolution Signal B Intermittent/Erratic Pulses"
"380","P0379","Timing Reference High Resolution Signal B No Pulses"
"381","P0380","Glow Plug/Heater Circuit A"
"382","P0381","Glow Plug/Heater Indicator Circuit"
"383","P0382","Glow Plug/Heater Circuit B"
"384","P0383","Reserved by SAE J2012"
"385","P0384","Reserved by SAE J2012"
"386","P0385","Crankshaft Position Sensor B Circuit"
"387","P0386","Crankshaft Position Sensor B Circuit Range/Performance"
"388","P0387","Crankshaft Position Sensor B Circuit Low"
"389","P0388","Crankshaft Position Sensor B Circuit High"
"390","P0389","Crankshaft Position Sensor B Circuit Intermittent"
"391","P0390","Camshaft Position Sensor B Circuit"
"392","P0391","Camshaft Position Sensor B Circuit Range/Performance"
"393","P0392","Camshaft Position Sensor B Circuit Low"
"394","P0393","Camshaft Position Sensor B Circuit High"
"395","P0394","Camshaft Position Sensor B Circuit Intermittent"
"396","P0400","Exhaust Gas Recirculation Flow"
"397","P0401","Exhaust Gas Recirculation Flow Insufficient Detected"
"398","P0402","Exhaust Gas Recirculation Flow Excessive Detected"
"399","P0403","Exhaust Gas Recirculation Control Circuit"
"400","P0404","Exhaust Gas Recirculation Control Circuit Range/Performance"
"401","P0405","Exhaust Gas Recirculation Sensor A Circuit Low"
"402","P0406","Exhaust Gas Recirculation Sensor A Circuit High"
"403","P0407","Exhaust Gas Recirculation Sensor B Circuit Low"
"404","P0408","Exhaust Gas Recirculation Sensor B Circuit High"
"405","P0409","Exhaust Gas Recirculation Sensor A Circuit"
"406","P0410","Secondary Air Injection System"
"407","P0411","Secondary Air Injection System Incorrect Flow Detected"
"408","P0412","Secondary Air Injection System Switching Valve A Circuit"
"409","P0413","Secondary Air Injection System Switching Valve A Circuit Open"
"410","P0414","Secondary Air Injection System Switching Valve A Circuit Shorted"
"411","P0415","Secondary Air Injection System Switching Valve B Circuit"
"412","P0416","Secondary Air Injection System Switching Valve B Circuit Open"
"413","P0417","Secondary Air Injection System Switching Valve B Circuit Shorted"
"414","P0418","Secondary Air Injection System Control A Circuit"
"415","P0419","Secondary Air Injection System Control B Circuit"
"416","P0420","Catalyst System Efficiency Below Threshold"
"417","P0421","Warm Up Catalyst Efficiency Below Threshold"
"418","P0422","Main Catalyst Efficiency Below Threshold"
"419","P0423","Heated Catalyst Efficiency Below Threshold"
"420","P0424","Heated Catalyst Temperature Below Threshold"
"421","P0425","Catalyst Temperature Sensor"
"422","P0426","Catalyst Temperature Sensor Range/Performance"
"423","P0427","Catalyst Temperature Sensor Low"
"424","P0428","Catalyst Temperature Sensor High"
"425","P0429","Catalyst Heater Control Circuit"
"426","P0430","Catalyst System Efficiency Below Threshold"
"427","P0431","Warm Up Catalyst Efficiency Below Threshold"
"428","P0432","Main Catalyst Efficiency Below Threshold"
"429","P0433","Heated Catalyst Efficiency Below Threshold"
"430","P0434","Heated Catalyst Temperature Below Threshold"
"431","P0435","Catalyst Temperature Sensor"
"432","P0436","Catalyst Temperature Sensor Range/Performance"
"433","P0437","Catalyst Temperature Sensor Low"
"434","P0438","Catalyst Temperature Sensor High"
"435","P0439","Catalyst Heater Control Circuit"
"436","P0440","Evaporative Emission System"
"437","P0441","Evaporative Emission System Incorrect Purge Flow"
"438","P0442","Evaporative Emission System Leak Detected (small leak)"
"439","P0443","Evaporative Emission System Purge Control Valve Circuit"
"440","P0444","Evaporative Emission System Purge Control Valve Circuit Open"
"441","P0445","Evaporative Emission System Purge Control Valve Circuit Shorted"
"442","P0446","Evaporative Emission System Vent Control Circuit"
"443","P0447","Evaporative Emission System Vent Control Circuit Open"
"444","P0448","Evaporative Emission System Vent Control Circuit Shorted"
"445","P0449","Evaporative Emission System Vent Valve/Solenoid Circuit"
"446","P0450","Evaporative Emission System Pressure Sensor/Switch"
"447","P0451","Evaporative Emission System Pressure Sensor/Switch Range/Performance"
"448","P0452","Evaporative Emission System Pressure Sensor/Switch Low"
"449","P0453","Evaporative Emission System Pressure Sensor/Switch High"
"450","P0454","Evaporative Emission System Pressure Sensor/Switch Intermittent"
"451","P0455","Evaporative Emission System Leak Detected (large leak)"
"452","P0456","Evaporative Emission System Leak Detected (very small leak)"
"453","P0457","Evaporative Emission System Leak Detected (fuel cap loose/off)"
"454","P0458","Evaporative Emission System Purge Control Valve Circuit Low"
"455","P0459","Evaporative Emission System Purge Control Valve Circuit High"
"456","P0460","Fuel Level Sensor A Circuit"
"457","P0461","Fuel Level Sensor A Circuit Range/Performance"
"458","P0462","Fuel Level Sensor A Circuit Low"
"459","P0463","Fuel Level Sensor A Circuit High"
"460","P0464","Fuel Level Sensor A Circuit Intermittent"
"461","P0465","EVAP Purge Flow Sensor Circuit"
"462","P0466","EVAP Purge Flow Sensor Circuit Range/Performance"
"463","P0467","EVAP Purge Flow Sensor Circuit Low"
"464","P0468","EVAP Purge Flow Sensor Circuit High"
"465","P0469","EVAP Purge Flow Sensor Circuit Intermittent"
"466","P0470","Exhaust Pressure Sensor"
"467","P0471","Exhaust Pressure Sensor Range/Performance"
"468","P0472","Exhaust Pressure Sensor Low"
"469","P0473","Exhaust Pressure Sensor High"
"470","P0474","Exhaust Pressure Sensor Intermittent"
"471","P0475","Exhaust Pressure Control Valve"
"472","P0476","Exhaust Pressure Control Valve Range/Performance"
"473","P0477","Exhaust Pressure Control Valve Low"
"474","P0478","Exhaust Pressure Control Valve High"
"475","P0479","Exhaust Pressure Control Valve Intermittent"
"476","P0480","Fan 1 Control Circuit"
"477","P0481","Fan 2 Control Circuit"
"478","P0482","Fan 3 Control Circuit"
"479","P0483","Fan Rationality Check"
"480","P0484","Fan Circuit Over Current"
"481","P0485","Fan Power/Ground Circuit"
"482","P0486","Exhaust Gas Recirculation Sensor B Circuit"
"483","P0487","Exhaust Gas Recirculation Throttle Position Control Circuit"
"484","P0488","Exhaust Gas Recirculation Throttle Position Control Range/Performance"
"485","P0489","Exhaust Gas Recirculation Control Circuit Low"
"486","P0490","Exhaust Gas Recirculation Control Circuit High"
"487","P0491","Secondary Air Injection System Insufficient Flow"
"488","P0492","Secondary Air Injection System Insufficient Flow"
"489","P0493","Fan Overspeed"
"490","P0494","Fan Speed Low"
"491","P0495","Fan Speed High"
"492","P0496","Evaporative Emission System High Purge Flow"
"493","P0497","Evaporative Emission System Low Purge Flow"
"494","P0498","Evaporative Emission System Vent Valve Control Circuit Low"
"495","P0499","Evaporative Emission System Vent Valve Control Circuit High"
"496","P0500","Vehicle Speed Sensor A"
"497","P0501","Vehicle Speed Sensor A Range/Performance"
"498","P0502","Vehicle Speed Sensor A Circuit Low Input"
"499","P0503","Vehicle Speed Sensor A Intermittent/Erratic/High"
"500","P0504","Brake Switch A/B Correlation"
"501","P0505","Idle Air Control System"
"502","P0506","Idle Air Control System RPM Lower Than Expected"
"503","P0507","Idle Air Control System RPM Higher Than Expected"
"504","P0508","Idle Air Control System Circuit Low"
